iter	Passed	Remaining
401	16073	9556
402	16108	9513
403	16148	9473
404	16179	9428
405	16213	9384
406	16248	9341
407	16286	9300
408	16346	9272
409	16389	9234
410	16425	9192
411	16471	9155
412	16528	9124
413	16571	9086
414	16610	9045
415	16647	9003
416	16686	8963
417	16719	8919
418	16751	8875
419	16784	8831
420	16820	8789
421	16856	8747
422	16891	8705
423	16927	8663
424	16959	8619
425	16999	8579
426	17033	8536
427	17068	8494
428	17106	8453
429	17143	8412
430	17224	8392
431	17258	8349
432	17303	8312
433	17335	8268
434	17372	8227
435	17406	8184
436	17464	8152
437	17501	8111
438	17534	8068
439	17577	8029
440	17611	7986
441	17643	7943
442	17677	7901
443	17714	7859
444	17751	7818
445	17790	7778
446	17825	7736
447	17864	7695
448	17913	7659
449	17975	7629
450	18012	7588
451	18052	7548
452	18087	7506
453	18125	7465
454	18178	7431
455	18219	7391
456	18256	7350
457	18288	7307
458	18325	7266
459	18364	7225
460	18395	7182
461	18438	7143
462	18470	7100
463	18503	7058
464	18540	7017
465	18571	6974
466	18604	6931
467	18642	6891
468	18752	6877
469	18882	6870
470	18972	6847
471	19018	6809
472	19056	6768
473	19101	6729
474	19142	6689
475	19183	6649
476	19218	6607
477	19253	6565
478	19293	6525
479	19327	6482
480	19362	6440
481	19402	6400
482	19436	6358
483	19478	6318
484	19510	6275
485	19543	6233
486	19578	6191
487	19612	6149
488	19652	6108
489	19689	6067
490	19723	6025
491	19757	5983
492	19791	5941
493	19827	5899
494	19863	5858
495	19902	5818
496	19940	5777
497	19976	5736
498	20009	5694
499	20044	5652
500	20080	5611
501	20115	5569
502	20155	5529
503	20187	5487
504	20221	5445
505	20259	5405
506	20294	5363
507	20332	5323
508	20371	5282
509	20416	5244
510	20452	5203
511	20488	5162
512	20529	5122
513	20565	5081
514	20602	5040
515	20640	5000
516	20677	4959
517	20715	4918
518	20751	4877
519	20785	4836
520	20824	4796
521	20857	4754
522	20893	4714
523	20931	4673
524	20962	4631
525	20998	4590
526	21033	4549
527	21072	4509
528	21108	4468
529	21140	4427
530	21174	4386
531	21214	4346
532	21248	4305
533	21307	4269
534	21347	4229
535	21386	4189
536	21420	4148
537	21454	4107
